month,device,acquisition_channel,sessions,add_to_cart,checkout,purchases
2026-03-01,desktop,paid_social,2070,290,198,134
2026-03-01,desktop,email,1749,214,138,97
2026-03-01,mobile,organic_search,7795,656,298,162
2026-03-01,mobile,paid_search,6348,620,292,205
2026-03-01,mobile,direct,5602,581,303,203
2026-03-01,mobile,referral,2697,287,132,94
2026-03-01,mobile,paid_social,2185,212,103,64
2026-03-01,mobile,email,2074,188,104,65
2026-03-01,tablet,organic_search,1778,164,93,70
2026-03-01,tablet,paid_search,1408,160,90,60
2026-03-01,tablet,direct,1306,142,91,57
2026-03-01,tablet,referral,475,44,29,17
2026-03-01,tablet,paid_social,303,28,14,10
2026-03-01,tablet,email,360,40,21,12
2026-04-01,desktop,organic_search,10300,1474,1109,902
2026-04-01,desktop,paid_search,4916,584,448,312
2026-04-01,desktop,direct,5993,755,544,377
2026-04-01,desktop,referral,2451,325,218,150
2026-04-01,desktop,paid_social,2134,274,183,138
2026-04-01,desktop,email,1677,194,139,88
2026-04-01,mobile,organic_search,11066,1163,640,435
2026-04-01,mobile,paid_search,6680,707,410,221
2026-04-01,mobile,direct,7604,696,364,241
2026-04-01,mobile,referral,2432,222,115,82
2026-04-01,mobile,paid_social,1937,198,100,54
2026-04-01,mobile,email,2164,224,112,71
2026-04-01,tablet,organic_search,1442,161,108,67
2026-04-01,tablet,paid_search,1026,108,73,43
2026-04-01,tablet,direct,964,82,54,39
2026-04-01,tablet,referral,363,32,19,12
2026-04-01,tablet,paid_social,329,28,18,11
2026-04-01,tablet,email,301,32,17,12
2026-05-01,desktop,organic_search,10504,1200,803,635
2026-05-01,desktop,paid_search,4913,708,537,343
2026-05-01,desktop,direct,4461,522,314,210
2026-05-01,desktop,referral,2310,297,231,173
2026-05-01,desktop,paid_social,1908,260,167,119
2026-05-01,desktop,email,1597,192,118,74
2026-05-01,mobile,organic_search,11680,1121,593,360
2026-05-01,mobile,paid_search,7505,634,331,225
2026-05-01,mobile,direct,5121,437,244,165
2026-05-01,mobile,referral,2959,261,120,75
2026-05-01,mobile,paid_social,2645,244,134,94
2026-05-01,mobile,email,2012,212,121,86
2026-05-01,tablet,organic_search,2003,197,127,88
2026-05-01,tablet,paid_search,1090,93,54,39
2026-05-01,tablet,direct,1078,110,74,55
2026-05-01,tablet,referral,403,45,27,16
2026-05-01,tablet,paid_social,332,36,23,16
2026-05-01,tablet,email,448,47,31,23
2026-06-01,desktop,organic_search,8293,1082,801,675
2026-06-01,desktop,paid_search,5136,576,351,250
2026-06-01,desktop,direct,5342,635,406,343
2026-06-01,desktop,referral,2653,302,219,173
2026-06-01,desktop,paid_social,2053,279,174,125
2026-06-01,desktop,email,1903,264,184,134
2026-06-01,mobile,organic_search,12984,1329,601,398
2026-06-01,mobile,paid_search,5639,562,326,210
2026-06-01,mobile,direct,5427,519,242,162
2026-06-01,mobile,referral,3298,307,162,111
2026-06-01,mobile,paid_social,1951,169,83,56
2026-06-01,mobile,email,1934,179,95,67
2026-06-01,tablet,organic_search,1817,164,107,64
2026-06-01,tablet,paid_search,913,101,55,40
2026-06-01,tablet,direct,869,85,58,43
2026-06-01,tablet,referral,484,50,33,20
2026-06-01,tablet,paid_social,365,32,19,12
2026-06-01,tablet,email,394,37,23,13
2026-07-01,desktop,organic_search,5651,838,642,537
2026-07-01,desktop,paid_search,5768,851,648,521
2026-07-01,desktop,direct,3411,431,298,239
2026-07-01,desktop,referral,2564,366,264,194
2026-07-01,desktop,paid_social,1405,187,145,110
2026-07-01,desktop,email,1970,271,196,143
2026-07-01,mobile,organic_search,12927,1218,627,339
2026-07-01,mobile,paid_search,6048,641,310,174
2026-07-01,mobile,direct,5906,497,273,146
2026-07-01,mobile,referral,2412,253,149,106
2026-07-01,mobile,paid_social,2194,204,110,71
2026-07-01,mobile,email,1971,162,91,52
2026-07-01,tablet,organic_search,1244,122,72,49
2026-07-01,tablet,paid_search,1125,118,71,42
2026-07-01,tablet,direct,1126,109,74,57
2026-07-01,tablet,referral,385,33,19,14
2026-07-01,tablet,paid_social,384,40,26,18
2026-07-01,tablet,email,350,32,20,14
